"selfcensor","adminclear","admincontr","worryrep","worryjob","fa_insult","fa_offen","fa_teach","fa_emot","fa_unrest","scotus_harass","obama_harass","priority","direction","studentcon","facoffen","facquote","faccomf","train_knowl","train_norms","train_prac","train_phil","train_skill","train_const","train_rule","train_disag","train_engage","sup_session","sup_acadpol","sup_exprpol","sup_event","judgeideo","judgeT14","judgeview","judgeteach","spmargin","spdiff","deihire","deitenure","polclimate","polhide","hirecons","hirelib","mentorcons","mentorlib","clerkcons","clerklib","fitlib","fitcons","col_hirecons","col_hirelib","col_mentorcons","col_mentorlib","col_clerkcons","col_clerklib","educontext","FLDF","Position","Area","Degree_1","Degree_2","Degree_3","Degree_4","Degree_5","Gender","Race","Ideo","ideobin","Party","age_5cat","Religion","Religion2"
"Very often, nearly every day","Not very clear","Somewhat likely","Very worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very uncomfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Justified","Somewhat justified","Judges are mostly politically motivated.","Judges are a mix of politically motivated and politically neutral.","Neither oppose nor support","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Never","Sometimes","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Always","Never","Often","Never","Sometimes","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Clinical Professor","Contract law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Conservative","conservative","Strong Republican","65+","Jewish",
"Never","Somewhat clear","Somewhat likely","Not too worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too narrow","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Sometimes","Rarely","Rarely","Rarely","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Adjunct / Lecturer","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Slightly liberal","liberal","Lean Democrat","55-64","Mainline Protestant",
"Occasionally","Not at all clear",,,,,,,,,"Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often",,,"Very comfortable","Very important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat important","Somewhat important","Somewhat important","Somewhat important",,"Somewhat support this","Somewhat support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.",,"Somewhat support this position","This is always justifiable","This is always justifiable","Somewhat hostile","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Never","Never","Never","Never","Never","Never",,"I’ve heard of it, but I don’t know much about it","Full Professor","Other","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very liberal","liberal",,"45-54","Jewish",
"Rarely","Very clear","Somewhat likely","Somewhat worried","Slightly worried","Minimal protection","Some protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly unacceptable","Mostly acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Neither oppose nor support","Strongly support this","Extremely unjustified","Unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Sometimes","Rarely","Rarely","Never","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Chaired or Distinguished Professor","Criminal procedure","J.D.",,,,,"Male","White or Caucasian","Slightly conservative","conservative","Independent","65+","Nothing in Particular",
"Occasionally","Very clear","Not very likely","Not too worried","Not too worried","Some protection","Complete protection","Complete protection","Some protection","Complete protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Mostly acceptable","Very comfortable","Very important","Somewhat important","Somewhat important","Very important","Somewhat important","Neither important nor unimportant","Neither important nor unimportant","Somewhat important","Somewhat important","Strongly oppose this","Strongly support this","Strongly support this","Somewhat oppose this","Unjustified","Unjustified","Judges are mostly politically motivated.","Judges are mostly politically motivated.","Somewhat support this position","Neither oppose nor support","This is sometimes justifiable","This is sometimes justifiable","Somewhat supportive","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Never","Never","Never","Never","Never","Never","Neither / don’t know","Somewhat familiar","Associate Professor","Jurisprudence","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Something else (please specify)",,"Lean Democrat","35-44","Atheist",
"Fairly often, a couple times a week","Somewhat clear","Somewhat likely","Slightly worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly unacceptable","Neither acceptable nor unacceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are mostly politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Somewhat hostile","Fairly often, a couple times a week","Never","Rarely","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Often","Never","Rarely","Rarely","Sometimes","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Chaired or Distinguished Professor","Business law / business organizations / commercial litigation","J.D.",,"LLM or Masters",,,"Female","White or Caucasian","Conservative","conservative","Lean Republican","45-54","Roman Catholic",
"Occasionally","Somewhat clear","Somewhat likely","Somewhat worried","Slightly worried","Some protection","Complete protection","Complete protection","Minimal protection","Complete protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Neither acceptable nor unacceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly oppose this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Neither oppose nor support","Somewhat support this position","This is never justifiable","This is never justifiable","Somewhat supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Sometimes","Rarely","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","I’ve heard of it, but I don’t know much about it","Clinical Professor","Civil procedure","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Liberal","liberal","Independent","55-64","Atheist",
"Rarely","Very clear","Not very likely","Not too worried","Not at all worried","Some protection","Complete protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly acceptable","Mostly acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly oppose this","Neither oppose nor support","Neither oppose nor support","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Neither poor nor positive fit","Sometimes","Never","Rarely","Never","Rarely","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent","65+","Mainline Protestant",
"Occasionally","Somewhat clear","Not very likely","Somewhat worried","Somewhat worried","Some protection","Complete protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Sometimes","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Somewhat support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Somewhat support this position","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Rarely","Never","Never","Rarely","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Rarely","Never","Rarely","Rarely","Never","Never","Neither / don’t know","Somewhat familiar","Full Professor","Copyright / trademark / intellectual property law","J.D.",,,,,"Female","Two or more races","Slightly liberal","liberal","Independent","45-54","Nothing in Particular",
"Never","Extremely clear","Not at all likely","Somewhat worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly unacceptable","Mostly unacceptable","Somewhat uncomfortable","Very important","Very important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Chaired or Distinguished Professor","Tort law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Jewish",
"Rarely","Very clear",,"Not too worried","Not at all worried","Don’t know / uncertain","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat justified","Somewhat justified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Neither oppose nor support","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Somewhat hostile","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Sometimes","Never","Rarely","Never","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Adjunct / Lecturer","Alternative dispute resolution","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Conservative","conservative","Lean Republican","55-64","Roman Catholic",
"Fairly often, a couple times a week","Extremely clear","Not very likely","Slightly worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Some protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Mostly unacceptable","Very comfortable","Very important","Very important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Never","Never","Never","Never","Rarely","Never","Very positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Never","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Full Professor","Constitutional law","J.D.",,,,,"Female","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Jewish",
"Rarely","Very clear","Somewhat likely","Not at all worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Some protection","Complete protection","Probably too narrow","Probably too narrow","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Sometimes","Never","Rarely","Rarely","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Adjunct / Lecturer","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Lean Democrat","65+","Jewish",
"Never","Extremely clear","Somewhat likely","Slightly worried","Not at all worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Mostly acceptable","Very comfortable","Somewhat important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat oppose this","Strongly support this","Strongly support this","Strongly support this","Justified","Extremely justified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very supportive","Never","Never","Rarely","Never","Never","Never","Never","Somewhat positive fit","Very positive fit","Never","Rarely","Never","Rarely","Never","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Administrator","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Slightly conservative","conservative","Independent","65+","Evangelical Protestant",
"Never","Very clear",,"Not at all worried","Not at all worried",,,,,,"Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority",,"Often","Mostly acceptable","Completely acceptable","Neither comfortable nor uncomfortable","Very important","Somewhat important",,"Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Strongly support this",,,"Judges are a mix of politically motivated and politically neutral.",,"Somewhat support this position","Somewhat support this position",,,"Neither supportive nor hostile","Never","Never","Never","Never","Never",,,"Neither poor nor positive fit","Neither poor nor positive fit",,,,,,,"Neither / don’t know","Never heard of it","Adjunct / Lecturer","Other",,,"LLM or Masters",,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Nothing in Particular",
"Rarely","Somewhat clear","Not very likely","Slightly worried","Not at all worried","Some protection","Complete protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Mostly acceptable","Somewhat comfortable","Somewhat important","Very important","Very important","Neither important nor unimportant","Very important","Somewhat important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Neither oppose nor support","Unjustified","Unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Rarely","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Associate Professor","Bankruptcy","J.D.",,,,,"Male","Middle Eastern/North African","Liberal","liberal","Lean Democrat","35-44","Jewish",
"Rarely","Very clear","Not very likely","Somewhat worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Neither oppose nor support","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat poor fit","Sometimes","Rarely","Rarely","Never","Never","Never","Neither / don’t know","Very familiar","Emeriti","Administrative / education law","J.D.",,,,,"Male","White or Caucasian","Slightly liberal","liberal","Strong Democrat","65+","Atheist",
"Very often, nearly every day","Not very clear","Somewhat likely","Very worried","Somewhat worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Often","Mostly acceptable","Completely acceptable","Very uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely justified","Extremely justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat hostile","Very often, nearly every day","Never","Rarely","Never","Rarely","Never","Never","Very positive fit","Somewhat poor fit","Always","Never","Sometimes","Never","Sometimes","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Librarian",,"J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very conservative","conservative","Lean Republican","55-64","Mainline Protestant",
"Rarely","Not very clear","Not very likely","Not too worried",,"Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Completely unacceptable","Mostly unacceptable","Somewhat comfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Never","Sometimes","Never","Never","Never","Sometimes","Never","Very positive fit","Very positive fit","Never","Never","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Very familiar","Adjunct / Lecturer","First Amendment law","J.D.",,,,,"Female","White or Caucasian","Very liberal","liberal","Something else (please specify)","65+","Nothing in Particular",
"Rarely","Very clear","Somewhat likely","Not too worried","Not too worried","Minimal protection","Minimal protection","Some protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Mostly acceptable","Somewhat comfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Somewhat support this position","This is often justifiable","This is often justifiable","Somewhat supportive","Never","Rarely","Rarely","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Emeriti","Property law","J.D.",,,,,"Male","Hispanic or Latin American","Something else (please specify)",,"Independent","65+","Nothing in Particular",
"Never","Extremely clear",,"Slightly worried","Not at all worried","No protection","Don’t know / uncertain","Some protection","Don’t know / uncertain","Don’t know / uncertain","Strikes an appropriate balance–is neither too narrow nor too broad","Don’t know / uncertain","Protecting free expression","Right track","Often",,"Mostly acceptable",,"Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position",,"This is sometimes justifiable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occasionally","Somewhat clear","Very likely","Somewhat worried","Not at all worried","Minimal protection","Minimal protection","Complete protection","Some protection","Some protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Sometimes","Mostly acceptable","Mostly acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Very important","Very important","Very unimportant","Somewhat important","Very important","Somewhat important","Somewhat support this","Somewhat support this","Somewhat support this","Strongly support this","Unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Neither oppose nor support","Neither oppose nor support","This is never justifiable","This is never justifiable","Somewhat hostile","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very poor fit","Often","Rarely","Sometimes","Never","Sometimes","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Associate Professor","Jurisprudence","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Female","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent",,"Agnostic",
"Rarely","Extremely clear","Somewhat likely","Not at all worried","Not at all worried","Some protection","Some protection","Some protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Sometimes","Mostly unacceptable","Mostly unacceptable","Somewhat comfortable","Very unimportant","Neither important nor unimportant","Very unimportant","Very unimportant","Very unimportant","Very unimportant","Somewhat unimportant","Very unimportant","Very unimportant","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Somewhat unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very positive fit","Somewhat positive fit","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Environmental law","J.D.",,"LLM or Masters",,,"Female","White or Caucasian","Something else (please specify)",,"Strong Democrat",,,
"Rarely","Somewhat clear","Not very likely","Not too worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Mostly acceptable","Very comfortable","Very important","Neither important nor unimportant","Somewhat important","Somewhat important","Very important","Very important","Very important","Somewhat important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Chaired or Distinguished Professor","Copyright / trademark / intellectual property law","J.D.",,,,,"Male","White or Caucasian","Something else (please specify)",,"Something else (please specify)","55-64","Roman Catholic",
"Never","Somewhat clear","Not very likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly acceptable","Mostly acceptable","Somewhat comfortable","Somewhat important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Neither oppose nor support","Neither justified nor unjustified","Neither justified nor unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is sometimes justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Rarely","Rarely","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Copyright / trademark / intellectual property law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Atheist",
"Rarely","Very clear","Not very likely","Not too worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Don’t know / uncertain","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Completely acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Neither poor nor positive fit","Sometimes","Never","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Professor of Practice",,"J.D.",,,,,,"White or Caucasian","Slightly liberal","liberal","Strong Democrat",,"Roman Catholic",
"Occasionally","Somewhat clear",,"Somewhat worried","Slightly worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Never","Rarely","Rarely","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit",,,,,,,"Neither / don’t know","I’ve heard of it, but I don’t know much about it","Adjunct / Lecturer","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Roman Catholic",
